# metric_direction: higher_is_better
iteration	timestamp	hypothesis	status	technique	evidence	file_line
1	2026-06-26T10:30	Regex (?<=一-鿿) missing char class brackets: matches literal string not CJK range	confirmed	pattern_search	Lookbehind (?<=一-鿿) matches literal "一-鿿" (U+4E00,U+002D,U+9FFF) instead of any CJK char; should be (?<=[一-鿿])	keyword_evidence.py:322
2	2026-06-26T10:30	Word boundary guard skips single-char attack terms (蠢,孝,典,绷,唐,云,纯) when in compounds	confirmed	pattern_search	line 380-384: wordBoundaryRe.test(prev/next) skips 蠢 in 愚蠢, 孝 in 孝子, 典 in 经典; attack-polarity terms need exemption	main.jsx:380-384
3	2026-06-26T10:30	Commit 37d03f79 did not fully replace localeCompare — 8 calls remain, no compareTerms function exists	confirmed	pattern_search	8 localeCompare calls in keywordHarvest.js:1998,2355,2564,2581,2809,2825 and deepseekKeywordTrainer.js:3543,3577; no compareTerms in codebase	keywordHarvest.js:1998,2355,2564,2581,2809,2825; deepseekKeywordTrainer.js:3543,3577
4	2026-06-26T10:30	getDeepSeekConfig catch block returns ok:true available:true when /models API call fails	confirmed	trace	Lines 3647-3657: catch returns {ok:true, available:true, models:DEEPSEEK_V4_MODELS} when API failed; downstream code relies on .available being correct	deepseekKeywordTrainer.js:3647-3657
5	2026-06-26T10:30	Parameter 'limit' reassigned mid-loop mutates function argument visible in closures	confirmed	trace	Line 560: limit = totalFromApi inside discoverVideosByFavorite; changes loop termination and is visible to deps wrapper	bilibiliCrawler.js:559-560
6	2026-06-26T10:30	findLexiconMarks 4-result slice drops cooperation/correction families creating negative lexical bias	confirmed	trace	Line 404: .slice(0,4) after iteration order attack→absolutes→evidence→evasion→cooperation→correction; positive families always dropped if 4 risk hits found	main.jsx:404
7	2026-06-26T10:30	analysisMode default 'best' has no matching UI button, causing no active-class and wrong engine label	confirmed	trace	Line 722: useState('best') but buttons are hybrid/semantic/lexicon; line 862 maps best→hybrid but label shows 混合模式 not 智能融合	main.jsx:722,607,929
8	2026-06-26T10:30	_effective_successful_attempts early return at successful==0 masks evidence progress	confirmed	trace	Line 102: successful==0 returns 0 even when lastEvidenceCount > evidenceAtPlanTime; blocks exhausted detection for terms with evidence growth but no successful count	harvest_state.py:100-104
9	2026-06-26T10:30	Sentence splitting on CJK punctuation misplaces closing brackets/quotes to wrong fragment	confirmed	trace	Line 533: re.split(r"(?<=[。！？!?;；])", line) splits after punctuation; closing 」or ）attaches to next sentence fragment	deepseek.py:532-533
10	2026-06-26T10:30	Off-by-one: while (index <= haystack.length) in JS countOccurrences adds one extra no-op iteration	confirmed	trace	Lines 1271,1285: index<=length → String.indexOf at length always returns -1; wastes one loop iteration per call	deepseekKeywordTrainer.js:1271,1285
11	2026-06-26T10:30	Off-by-one: while index <= len(remaining) in Python _count_non_overlapping_needles wastes one iteration	confirmed	trace	Line 281: str.find at len(remaining) always returns -1; extra no-op per needle	keyword_evidence.py:281
12	2026-06-26T10:30	Falsy coercion: if (favId) rejects string "0" causing favorite expansion skip for media ID 0	confirmed	pattern_search	Line 636: favId can be "0" (single-digit media ID); "0" is falsy in JS so favorite expansion is skipped	videoKeywordSearch.js:636
13	2026-06-26T10:30	Double setFetchState in catch: first message is always overwritten by second (dead code)	confirmed	trace	Lines 782-794: first setFetchState sets Chinese msg, second immediately overwrites it when !cancelled; first message never observed	main.jsx:782-794
14	2026-06-26T10:30	normalizeRadarAxis: String(null) → "null" bypasses empty check; should guard typeof axis !== 'string'	confirmed	pattern_search	Line 62-66: String(axis||'').trim() for null produces "null" which passes the !clean guard; falls through to AXIS_ALIASES.get("null") which returns undefined → ''	languageUnderstanding.js:62-66
15	2026-06-26T10:30	ReDoS risk: .* in re.search(r"[、，,].*[、，,]", context_sample) could backtrack on long text	confirmed	pattern_search	Line 996: greedy .* between two punctuation classes; on 100KB+ text causes O(n) backtracking; use [^、，,]* instead	keyword_evidence.py:996
16	2026-06-26T10:30	Double normalizeAxisImpact call in buildSentenceRadarMarks: model impacts normalized twice	confirmed	trace	Lines 272,277: sentence.axisImpacts normalized at 272, then composeSentenceImpacts result normalized again at 277; idempotent but confusing architecture	languageUnderstanding.js:272,277
