# metric_direction: higher_is_better
iteration	timestamp	hypothesis	status	technique	evidence	file_line
1	2026-06-26T08:05:00Z	I hypothesize that extractJsonObject truncated JSON repair conflates bracket types because the diff shows unified depth counter	disproven	diff+read	The current file already has a proper stack-based LIFO repair (pushing '}' for '{' and ']' for '['). The bug was already fixed in this branch.	server/services/deepseekKeywordTrainer.js:1039-1053
2	2026-06-26T08:08:00Z	I hypothesize that countOccurrences has off-by-one because old diff shows index <= haystack.length	disproven	diff+read	Already fixed in this branch — changed from <= to <	server/services/deepseekKeywordTrainer.js:1276
3	2026-06-26T08:10:00Z	I hypothesize that fetchState idle guard prevents showing error messages when config/dictionary fetch fails	disproven	read	The status IS 'idle' during silent dictionary loading (no setFetchState('loading') before the fetch). The guard correctly prevents overwriting user-triggered loading/error states.	src/main.jsx:757-762
4	2026-06-26T08:15:00Z	I hypothesize that mergedEvidenceSources is dead code in mergeKeywordEntry	disproven	read	It IS used at line 755 for ambiguousEvidenceWasFiltered check	server/services/deepseekKeywordTrainer.js:739-755
5	2026-06-26T08:18:00Z	I hypothesize that beforeEntries is dead code in hasHarvestEvidenceProgress	disproven	read	It IS used at line 2909 for evidence comparison	server/services/keywordHarvest.js:2897-2909
6	2026-06-26T08:20:00Z	I hypothesize that commentCount/danmakuCount gate can miss users with commentText but zero counts	confirmed	trace	When user.commentCount===0 && user.danmakuCount===0 but nextCommentText is non-empty, the analysis pipeline is skipped (line 874). This is an edge case where the API reports count discrepancies.	src/main.jsx:874
7	2026-06-26T08:22:00Z	I hypothesize that searchNeedlesForRelevance has infinite loop or incorrect dedup	inconclusive	read	The function logic is complex but appears correct — no infinite loops, dedup is correct. However, duplicate spreading of aliases could over-weight some terms in relevance scoring.	server/services/videoKeywordSearch.js:303-323
8	2026-06-26T08:25:00Z	I hypothesize that coverageProgressDeltaFromHarvest passes wrong key names to check methods in cross-module calls	disproven	read	evidenceGained is produced by summarizeCoverageProgress (line 2865) and consumed by coverageDeltaFromHarvest (line 41). totalEvidenceGained is from coverageDelta for audit reports. Different functions, different key names by design.	server/utils/coverageProgress.js:41, server/services/keywordHarvest.js:2865
9	2026-06-26T08:28:00Z	I hypothesize that cleanSearchText regex strips kana characters needed for Japanese Bilibili content	disproven	read	\p{Letter} includes Hiragana and Katakana. Only characters outside Han/Letter/Number are stripped.	server/services/videoKeywordSearch.js:143
10	2026-06-26T08:30:00Z	I hypothesize that boundedInt returns incorrect values for edge-case floats like 2.999	disproven	read	Math.floor correctly floors before clamping. Number.isFinite handles NaN/Infinity. Function is correct.	server/services/videoKeywordSearch.js:79-83
11	2026-06-26T08:32:00Z	I hypothesize that responseCache has unbounded memory growth with no eviction of expired entries	confirmed	read	Module-level Map has no pruning. Expired entries are only checked on lookup, never actively removed. Over long-running servers, this accumulates. Low severity.	server/services/bilibiliCrawler.js:20,338-343
