# metric_direction: higher_is_better
iteration	timestamp	hypothesis	status	technique	evidence	file_line
1	2026-05-31T02:39:00Z	videoKeywordSearch.js:635 references `warnings` before declaration (TDZ)	confirmed	trace	catch block at line 635 calls warnings.push but const warnings is declared at line 1039	videoKeywordSearch.js:635
2	2026-05-31T02:39:00Z	index.js has no SIGTERM/SIGINT handler, Vite child orphaned	confirmed	trace	process.on('exit') does not fire on signals; no SIGTERM/SIGINT handlers	index.js:31-37
3	2026-05-31T02:39:00Z	bilibiliCrawler.js:451 uses || instead of ?? for replyCount	confirmed	trace	item.stat?.reply || item.stat?.danmaku falls through when reply=0	bilibiliCrawler.js:451
4	2026-05-31T02:39:00Z	bilibiliCrawler.js:543 silently swallows all errors in discoverVideosByFavorite	confirmed	trace	bare catch { break; } hides API failures vs empty list	bilibiliCrawler.js:543-544
5	2026-05-31T02:39:00Z	index.js:10 No PORT validation, NaN passed to serve()	confirmed	trace	Number('abc') returns NaN, no fallback	index.js:10
6	2026-05-31T02:39:00Z	index.js:27 serve() return value discarded, EADDRINUSE uncaught	confirmed	trace	serve() returns http.Server but value not captured	index.js:27-29
7	2026-05-31T02:39:00Z	main.jsx:808 No response.ok check before response.json()	confirmed	trace	4xx/5xx with HTML body causes cryptic SyntaxError	main.jsx:808
8	2026-05-31T02:39:00Z	main.jsx:838 Empty catch {} swallows keyword training errors	confirmed	trace	catch {} gives user no feedback on failure	main.jsx:838
9	2026-05-31T02:39:00Z	main.jsx:307 Empty string terms in lexicon cause inflated countMatches	confirmed	trace	''.split('') returns text.length+1 items	main.jsx:307
10	2026-05-31T02:39:00Z	main.jsx:662 Full comment highlighted when highlight===comment	confirmed	trace	comment.split(comment) yields ['', ''] wrapping all in mark	main.jsx:662-682
11	2026-05-31T02:39:00Z	bilibiliCrawler.js:326 Blocked payload returned silently to callers	confirmed	trace	isBilibiliBlockResponse applies cooldown but still returns payload	bilibiliCrawler.js:326-337
12	2026-05-31T02:39:00Z	aicu.js:108 HTTP 200 returned for 'no data found' error	confirmed	trace	c.json({ok:false,error}) without status code defaults to 200	aicu.js:108-109
